comparison_mode,comparison_label,player_id,player_name,post_matches,post_rounds,post_damage,post_team_damage,post_team_damage_per_round,post_team_damage_per_match,post_team_damage_pct_soldier_damage,pre_matches,pre_rounds,pre_damage,pre_team_damage,pre_team_damage_per_round,pre_team_damage_per_match,pre_team_damage_pct_soldier_damage,matches_pct_change,rounds_pct_change,damage_pct_change,team_damage_pct_change,team_damage_per_round_pct_change,team_damage_per_match_pct_change,team_damage_pct_soldier_damage_pct_change
equal_time,Equal Time,STEAM_0:0:18619424,rufi0,33,34,289995,57642,1695.3529411764705,1746.7272727272727,19.876894429214296,24,24,212165,40406,1683.5833333333333,1683.5833333333333,19.04461150519643,37.5,41.666666666666664,36.68371314778592,42.65703113399,0.6990808004635294,3.75056809744728,4.370175384206576
equal_time,Equal Time,STEAM_0:1:19081858,CurtWild.es,16,16,137283,22853,1428.3125,1428.3125,16.646635053138407,37,37,321505,59560,1609.7297297297298,1609.7297297297298,18.525372855787623,-56.75675675675676,-56.75675675675676,-57.29988647143902,-61.63028878441907,-11.270042813969111,-11.270042813969111,-10.141430443934453
equal_time,Equal Time,STEAM_0:0:215536322,theycallme-quickdet,24,24,163415,30429,1267.875,1267.875,18.620689655172413,24,24,174563,36357,1514.875,1514.875,20.827437658610357,0.0,0.0,-6.386233050531899,-16.304975658057597,-16.304975658057597,-16.304975658057597,-10.595388830875427
equal_time,Equal Time,STEAM_0:1:8490,[40+]Dospac,20,20,152494,25560,1278.0,1278.0,16.76131519928653,26,26,194832,40455,1555.9615384615386,1555.9615384615386,20.764042867701406,-23.076923076923077,-23.076923076923077,-21.73051654758972,-36.818687430478306,-17.864293659621808,-17.864293659621808,-19.277207689843216
equal_time,Equal Time,STEAM_0:1:77878,exr8ed-VD,23,24,152074,28254,1177.25,1228.4347826086957,18.5791128003472,19,19,116419,23126,1217.157894736842,1217.157894736842,19.864455114714954,21.05263157894737,26.31578947368421,30.626444137125382,22.174176251837757,-3.2787771339617726,0.926493425431201,-6.4705641657173505
equal_time,Equal Time,STEAM_0:1:11788346,kix,18,18,155406,22658,1258.7777777777778,1258.7777777777778,14.579874650914379,17,17,142338,25229,1484.0588235294117,1484.0588235294117,17.724711601961527,5.882352941176471,5.882352941176471,9.180963621801627,-10.190653612905782,-15.18006174552212,-15.18006174552212,-17.742669227402953
equal_time,Equal Time,STEAM_0:0:661896,[A*C*M]Moreno,17,18,147915,23516,1306.4444444444443,1383.2941176470588,15.898319981070209,14,14,119228,16568,1183.4285714285713,1183.4285714285713,13.896064682792632,21.428571428571427,28.571428571428573,24.060623343509913,41.93626267503621,10.394870969472612,16.88868690885336,14.408793741129823
equal_time,Equal Time,STEAM_0:1:1058823,spek,20,20,157198,19065,953.25,953.25,12.12801689588926,12,12,98836,20720,1726.6666666666667,1726.6666666666667,20.964021206847708,66.66666666666667,66.66666666666667,59.04933425067789,-7.987451737451737,-44.79247104247104,-44.79247104247104,-42.14842288020701
equal_time,Equal Time,STEAM_0:1:68678,dexterity,12,12,84190,15621,1301.75,1301.75,18.55446014966148,13,13,101430,17668,1359.076923076923,1359.076923076923,17.418909592822637,-7.6923076923076925,-7.6923076923076925,-16.99694370501824,-11.585918043921213,-4.218077880914649,-4.218077880914649,6.519067974879099
equal_time,Equal Time,STEAM_0:1:700333,xanax soldier,0,0,0,0,0,0,0,20,20,166677,33196,1659.8,1659.8,19.916365185358508,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:113066980,rQ.HanzzYolo,0,0,0,0,0,0,0,24,24,181863,32080,1336.6666666666667,1336.6666666666667,17.639651825824934,-100.0,-100.0,-100.0,-100.0,-100.00000000000001,-100.00000000000001,-100.0
equal_time,Equal Time,STEAM_0:0:426568628,cole,9,9,83193,12021,1335.6666666666667,1335.6666666666667,14.449533013594893,11,11,99697,19964,1814.909090909091,1814.909090909091,20.024674764536545,-18.181818181818183,-18.181818181818183,-16.5541591020793,-39.78661590863555,-26.40586388833233,-26.40586388833233,-27.84135980483019
equal_time,Equal Time,STEAM_0:1:57115,hello? RALPH TRESVANT pls,5,5,44204,7500,1500.0,1500.0,16.966790335716226,16,16,137158,23719,1482.4375,1482.4375,17.2931947097508,-68.75,-68.75,-67.77147523294303,-68.37977992326826,1.184704245541549,1.184704245541549,-1.8874729598142466
equal_time,Equal Time,STEAM_0:1:224817525,enrique,18,18,143884,28514,1584.111111111111,1584.111111111111,19.81735286758778,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:0:12161876,craig duvet,23,24,156872,27302,1137.5833333333333,1187.0434782608695,17.403998164108316,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:160553225,Emilio!.ar,11,11,63077,15793,1435.7272727272727,1435.7272727272727,25.03765239310684,7,7,43582,10534,1504.857142857143,1504.857142857143,24.170529117525582,57.142857142857146,57.142857142857146,44.73176999678766,49.92405543952914,-4.593782902117819,-4.593782902117819,3.5875229349138347
equal_time,Equal Time,STEAM_0:0:116972,RedAlert,21,21,163974,24878,1184.6666666666667,1184.6666666666667,15.171917499115713,1,1,7544,1176,1176.0,1176.0,15.588547189819725,2000.0,2000.0,2073.5683987274656,2015.4761904761904,0.7369614512471719,0.7369614512471719,-2.67266529478832
equal_time,Equal Time,STEAM_0:1:1037349,drkz,8,8,72482,12734,1591.75,1591.75,17.56849976545901,9,9,90183,12808,1423.111111111111,1423.111111111111,14.202233236862824,-11.11111111111111,-11.11111111111111,-19.627867779958528,-0.5777638975640225,11.850015615240476,11.850015615240476,23.702374636819936
equal_time,Equal Time,STEAM_0:1:1691576,Yosh,7,7,55716,10901,1557.2857142857142,1557.2857142857142,19.56529542680738,8,8,69547,14159,1769.875,1769.875,20.358893985362418,-12.5,-12.5,-19.887270478956676,-23.010099583303905,-12.011542380918755,-12.011542380918755,-3.898043573121485
equal_time,Equal Time,STEAM_0:1:113066980,rQ. HanzzYolo (Buzzball Biggie),26,27,207835,24799,918.4814814814815,953.8076923076923,11.93206149108668,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:0:90069,rufi0,19,19,173401,24040,1265.2631578947369,1265.2631578947369,13.86381854775924,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:0:90069,hello? wheaties,0,0,0,0,0,0,0,16,16,144928,23895,1493.4375,1493.4375,16.48749724000883,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:1752496,AUTHENTIC,5,5,44340,8740,1748.0,1748.0,19.711321605773566,5,5,49233,13704,2740.8,2740.8,27.834988727073306,0.0,0.0,-9.93845591371641,-36.22300058377116,-36.22300058377117,-36.22300058377117,-29.185092190816555
equal_time,Equal Time,STEAM_0:1:17947198,brakinh0 AF,5,5,30756,9180,1836.0,1836.0,29.847834568864613,7,7,51485,12920,1845.7142857142858,1845.7142857142858,25.094687773137807,-28.571428571428573,-28.571428571428573,-40.26221229484316,-28.94736842105263,-0.5263157894736877,-0.5263157894736877,18.940848512228687
equal_time,Equal Time,STEAM_0:1:131282,light,15,15,95606,11824,788.2666666666667,788.2666666666667,12.367424638621006,10,10,69717,10006,1000.6,1000.6,14.352310053502014,50.0,50.0,37.134414848602205,18.169098540875474,-21.220600972749686,-21.220600972749686,-13.82972781023978
equal_time,Equal Time,STEAM_0:1:8914480,Carb,0,0,0,0,0,0,0,17,17,138608,21013,1236.0588235294117,1236.0588235294117,15.160019623686944,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
