comparison_mode,comparison_label,min_rounds,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,5,STEAM_0:1:1752496,AUTHENTIC,5,1748.0,8868.0,1.3726708074534162,44.2,32.2,16.465712132629992,5,2740.8,9846.6,1.993006993006993,57.0,28.6,21.77415510748844,0.0,-36.22300058377117,-9.938455913716412,-31.125640187425077,-22.456140350877188,12.58741258741259,-24.379558925034015
equal_time,Equal Time,5,STEAM_0:1:1058823,spek,20,953.25,7859.9,1.4608378870673953,40.1,27.45,10.816223484225278,12,1726.6666666666667,8236.333333333334,1.3044692737430168,38.916666666666664,29.833333333333332,17.330790591856537,66.66666666666667,-44.79247104247104,-4.570399449593277,11.98714423343201,3.0406852248394105,-7.988826815642457,-37.58955526640747
equal_time,Equal Time,5,STEAM_0:1:55680,i-have-worse-than-bad-luck,8,1041.625,7503.875,1.4837209302325582,39.875,26.875,12.189163887426131,6,1718.3333333333333,8437.666666666666,1.280612244897959,41.833333333333336,32.666666666666664,16.919390836287253,33.333333333333336,-39.38166828322017,-11.066941887567646,15.860279810988619,-4.681274900398412,-17.729591836734688,-27.957430587371608
equal_time,Equal Time,5,STEAM_0:0:426568628,cole,9,1335.6666666666667,9243.666666666666,1.8055555555555556,50.55555555555556,28.0,12.625244186779256,11,1814.909090909091,9063.363636363636,1.75,52.18181818181818,29.818181818181817,16.683798397138585,-18.181818181818183,-26.40586388833233,1.98936109745863,3.174603174603176,-3.1165311653116463,-6.097560975609751,-24.326320144550575
equal_time,Equal Time,5,STEAM_0:1:8490,[40+]Dospac,20,1278.0,7624.7,1.1251908396946564,36.85,32.75,14.355195614813484,26,1555.9615384615386,7493.538461538462,1.1699029126213591,37.07692307692308,31.692307692307693,17.193895115327237,-23.076923076923077,-17.864293659621808,1.750328488133359,-3.821861835228535,-0.6120331950207518,3.3373786407766954,-16.50992681689234
equal_time,Equal Time,5,STEAM_0:0:6409859,NOOKIE,9,1060.4444444444443,6162.0,0.9790209790209791,31.11111111111111,31.77777777777778,14.682625149995385,6,1308.8333333333333,7288.5,0.9502487562189055,31.833333333333332,33.5,15.223712779156328,50.0,-18.977885309223655,-15.455855114221032,3.0278621901658593,-2.2687609075043604,-5.140961857379765,-3.554242233877255
equal_time,Equal Time,5,STEAM_0:0:215536322,theycallme-quickdet,24,1267.875,6808.958333333333,1.061712846347607,35.125,33.083333333333336,15.69767441860465,24,1514.875,7273.458333333333,1.2496589358799455,38.166666666666664,30.541666666666668,17.237341172008346,0.0,-16.304975658057597,-6.3862330505319,-15.039790788996072,-7.969432314410474,8.321964529331519,-8.932159188819412
equal_time,Equal Time,5,STEAM_0:1:11788346,kix,18,1258.7777777777778,8633.666666666666,1.2492260061919505,44.833333333333336,35.888888888888886,12.724638332285021,17,1484.0588235294117,8372.823529411764,1.1466227347611202,40.94117647058823,35.705882352941174,15.056067125388651,5.882352941176471,-15.18006174552212,3.1153545317015388,8.948302551510627,9.506704980842928,0.5125388980413674,-15.4849787377223
equal_time,Equal Time,5,STEAM_0:1:1691576,Yosh,7,1557.2857142857142,7959.428571428572,1.6184971098265897,40.0,24.714285714285715,16.36369094975757,8,1769.875,8693.375,1.4634146341463414,45.0,30.75,16.91515542493967,-12.5,-12.011542380918755,-8.442594833093343,10.597302504816964,-11.11111111111111,-19.62833914053426,-3.2601797697290023
equal_time,Equal Time,5,STEAM_0:1:131282,light,15,788.2666666666667,6373.733333333334,0.8536036036036037,25.266666666666666,29.6,11.006236619193894,10,1000.6,6971.7,0.9207920792079208,27.9,30.3,12.550957691005106,50.0,-21.220600972749686,-8.577056767598524,-7.29681294197423,-9.438470728793307,-2.310231023102308,-12.307595243654331
