comparison_mode,comparison_label,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,STEAM_0:1:1752496,AUTHENTIC,5,1748.0,8868.0,1.3726708074534162,44.2,32.2,16.465712132629992,5,2740.8,9846.6,1.993006993006993,57.0,28.6,21.77415510748844,0.0,-36.22300058377117,-9.938455913716412,-31.125640187425077,-22.456140350877188,12.58741258741259,-24.379558925034015
equal_time,Equal Time,STEAM_0:1:17947198,brakinh0 AF,5,1836.0,6151.2,0.9595375722543352,33.2,34.6,22.986778846153847,7,1845.7142857142858,7355.0,0.9683794466403162,35.0,36.142857142857146,20.06055430479,-28.571428571428573,-0.5263157894736877,-16.367097212780422,-0.9130588651645626,-5.142857142857134,-4.268774703557316,14.586957553137664
equal_time,Equal Time,STEAM_0:0:1260882,erb,3,1536.3333333333333,6598.666666666667,1.1744186046511629,33.666666666666664,28.666666666666668,18.885474288055725,1,2110.0,6351.0,0.7241379310344828,21.0,29.0,24.937950596856165,200.0,-27.187993680884677,3.899648349341316,62.18161683277964,60.31746031746031,-1.1494252873563178,-24.270143151071334
equal_time,Equal Time,STEAM_0:0:18619424,rufi0,34,1695.3529411764705,8529.264705882353,1.2360992301112061,42.5,34.38235294117647,16.581088894450247,24,1683.5833333333333,8840.208333333334,1.4433833560709413,44.083333333333336,30.541666666666668,15.997877824453322,41.666666666666664,0.6990808004635294,-3.5173789545040597,-14.360989066964635,-3.5916824196597403,12.575234732364976,3.645552718907913
equal_time,Equal Time,STEAM_0:0:1452755,manu,1,1661.0,8694.0,0.7962962962962963,43.0,54.0,16.040560115886045,2,1713.5,6571.0,1.9166666666666667,46.0,24.0,20.683203572937412,-50.0,-3.0639042894660053,32.30862882361893,-58.454106280193244,-6.521739130434782,125.0,-22.446442789578086
equal_time,Equal Time,STEAM_0:1:1691576,Yosh,7,1557.2857142857142,7959.428571428572,1.6184971098265897,40.0,24.714285714285715,16.36369094975757,8,1769.875,8693.375,1.4634146341463414,45.0,30.75,16.91515542493967,-12.5,-12.011542380918755,-8.442594833093343,10.597302504816964,-11.11111111111111,-19.62833914053426,-3.2601797697290023
equal_time,Equal Time,STEAM_0:0:426568628,cole,9,1335.6666666666667,9243.666666666666,1.8055555555555556,50.55555555555556,28.0,12.625244186779256,11,1814.909090909091,9063.363636363636,1.75,52.18181818181818,29.818181818181817,16.683798397138585,-18.181818181818183,-26.40586388833233,1.98936109745863,3.174603174603176,-3.1165311653116463,-6.097560975609751,-24.326320144550575
equal_time,Equal Time,STEAM_0:1:19081858,CurtWild.es,16,1428.3125,8580.1875,1.6436781609195403,44.6875,27.1875,14.270994654543637,37,1609.7297297297298,8689.324324324325,1.4866071428571428,45.0,30.27027027027027,15.62987941689738,-56.75675675675676,-11.270042813969111,-1.2559874652027267,10.56573815194506,-0.6944444444444444,-10.184151785714286,-8.694147447386314
equal_time,Equal Time,STEAM_0:1:1037349,drkz,8,1591.75,9060.25,1.3082706766917294,43.5,33.25,14.943203154337214,9,1423.111111111111,10020.333333333334,1.476027397260274,47.888888888888886,32.44444444444444,12.43603810041654,-11.11111111111111,11.850015615240476,-9.58135125245335,-11.365420511836433,-9.164733178654286,2.482876712328772,20.160480642437854
equal_time,Equal Time,STEAM_0:1:57115,hello? RALPH TRESVANT pls,5,1500.0,8840.8,1.4746835443037976,46.6,31.6,14.505647532105833,16,1482.4375,8572.375,1.441908713692946,43.4375,30.125,14.743561851600912,-68.75,1.184704245541549,3.131279254582298,2.2730170294144503,7.280575539568348,4.89626556016598,-1.6136827849997835
