comparison_mode,comparison_label,map_name,post_soldier_rounds,post_damage_per_round,post_team_damage_per_round,post_kills_per_round,post_deaths_per_round,post_kd,post_friendly_damage_pct,pre_soldier_rounds,pre_damage_per_round,pre_team_damage_per_round,pre_kills_per_round,pre_deaths_per_round,pre_kd,pre_friendly_damage_pct,soldier_rounds_pct_change,damage_per_round_pct_change,team_damage_per_round_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,kd_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,waterwar_lg,2,6360.5,669.0,30.0,25.0,1.2,9.517035351020699,5,7427.4,1645.6,38.8,28.2,1.375886524822695,18.137330541166097,-60.0,-14.36438053693082,-59.34613514827418,-22.680412371134015,-11.347517730496453,-12.783505154639178,-47.527915811976904
equal_time,Equal Time,blutopia_tfp,10,6736.5,1632.4,34.7,34.8,0.9971264367816092,19.50555031127149,8,7699.5,2429.625,43.375,33.0,1.3143939393939394,23.98652400873718,25.0,-12.5073056691993,-32.81267685342387,-19.999999999999996,5.454545454545446,-24.137931034482765,-18.68121323387031
equal_time,Equal Time,schtop,32,7218.34375,1309.09375,36.90625,35.625,1.0359649122807018,15.351549043895075,31,7610.0,2096.548387096774,40.806451612903224,37.74193548387097,1.0811965811965811,21.59931938199353,3.225806451612903,-5.146599868593955,-37.55957372332405,-9.557806324110668,-5.6089743589743595,-4.183482421468685,-28.92577413021156
equal_time,Equal Time,snow_gutter,6,7959.5,1217.8333333333333,37.666666666666664,32.833333333333336,1.1472081218274113,13.270013075693738,8,8212.125,1859.5,39.375,33.125,1.1886792452830188,18.462760478075783,-25.0,-3.0762439685221548,-34.50748409070539,-4.338624338624345,-0.8805031446540809,-3.4888405446780957,-28.125520062659888
equal_time,Equal Time,castra_b6,26,7507.961538461538,1282.4615384615386,36.73076923076923,32.73076923076923,1.1222091656874265,14.589303919037764,27,7721.074074074074,1727.5555555555557,39.111111111111114,32.96296296296296,1.1865168539325843,18.283662533857544,-3.7037037037037037,-2.7601410576817016,-25.76438226039461,-6.086101398601399,-0.7044079515989514,-5.419871452480161,-20.205790869190434
equal_time,Equal Time,phantom_lg,34,7727.14705882353,1352.0,37.588235294117645,32.11764705882353,1.1703296703296704,14.891266671201945,34,8106.882352941177,1753.1176470588234,39.88235294117647,32.35294117647059,1.2327272727272727,17.78009784035318,0.0,-4.684110088015264,-22.880246955004527,-5.752212389380537,-0.7272727272727247,-5.061752406885141,-16.247554963363747
equal_time,Equal Time,stormz2_lg,21,9188.095238095239,1104.3333333333333,39.57142857142857,37.23809523809524,1.0626598465473145,10.72957004918086,25,9241.04,1396.68,38.8,35.76,1.0850111856823266,13.129505194722178,-16.0,-0.5729307729948397,-20.93154241964278,1.9882179675994132,4.133375945456495,-2.0600100192475055,-18.278945854761144
equal_time,Equal Time,demolish2_b6,43,7732.790697674419,1284.3953488372092,38.48837209302326,32.674418604651166,1.1779359430604983,14.243859916077568,37,8012.216216216216,1501.3513513513512,39.567567567567565,32.648648648648646,1.2119205298013245,15.781160334316283,16.216216216216218,-3.4874934849643404,-14.450714838925752,-2.72747490151225,0.07893115663023569,-2.8041926764288254,-9.74136492926848
equal_time,Equal Time,siege,33,7392.242424242424,925.939393939394,35.72727272727273,25.272727272727273,1.4136690647482015,11.13151183970856,28,7425.535714285715,1127.0357142857142,34.857142857142854,23.178571428571427,1.5038520801232667,13.177741030266587,17.857142857142858,-0.4483621293375361,-17.842941248207897,2.4962742175857002,9.034878834570678,-5.996800919919802,-15.527920801131657
equal_time,Equal Time,openfire_lowgrens,32,7371.46875,1389.21875,36.6875,32.65625,1.123444976076555,15.857417012078104,39,7633.282051282052,1549.5128205128206,38.84615384615385,30.53846153846154,1.2720403022670026,16.87408727022944,-17.94871794871795,-3.429891618351489,-10.344804405023913,-5.556930693069308,6.934823677581858,-11.681652375763896,-6.025038521313242
equal_time,Equal Time,shutdown2_lg2,36,7283.055555555556,928.3888888888889,37.75,24.444444444444443,1.544318181818182,11.306036290813633,37,7126.216216216216,1088.6756756756756,37.108108108108105,22.27027027027027,1.6662621359223302,13.252465035482693,-2.7027027027027026,2.200878202129774,-14.723098014227821,1.7297887836853685,9.762675296655871,-7.318413560219823,-14.687295831059442
equal_time,Equal Time,alchimy_lg,27,8480.962962962964,1029.2962962962963,38.03703703703704,29.77777777777778,1.277363184079602,10.823009849012957,34,9098.79411764706,1179.2058823529412,44.029411764705884,29.205882352941178,1.5075528700906344,11.473106463834805,-20.58823529411765,-6.790253155479317,-12.712757653270963,-13.609935921225167,1.9581515049792986,-15.269095404739824,-5.6662649899664395
equal_time,Equal Time,monkey_lg,60,7899.716666666666,1330.1166666666666,40.21666666666667,31.016666666666666,1.2966147232670606,14.411058343415373,54,8066.037037037037,1451.5185185185185,39.0,30.203703703703702,1.291232372777437,15.25095924101271,11.11111111111111,-2.0619837177373905,-8.363782501084437,3.1196581196581246,2.691600245248315,0.4168382549181387,-5.5072004607991145
equal_time,Equal Time,raiden9,51,7336.294117647059,1228.2941176470588,36.0,30.80392156862745,1.1686823679185232,14.34154315306529,53,7344.528301886792,1268.7169811320755,36.509433962264154,29.339622641509433,1.2443729903536977,14.729836890090295,-3.7735849056603774,-0.11211318006111134,-3.186121419211037,-1.395348837209311,4.990858079566239,-6.082631415333148,-2.636103440400182
equal_time,Equal Time,fry_baked_lg,25,6923.04,1336.16,33.0,29.32,1.125511596180082,16.1778380472685,29,7009.0,1297.4827586206898,32.44827586206897,27.103448275862068,1.1972010178117047,15.620122214473117,-13.793103448275861,-1.2264231702097308,2.980944534509791,1.7003188097768254,8.178117048346062,-5.988085590059039,3.5704959611559413
equal_time,Equal Time,cranked,22,8238.454545454546,1345.0,40.36363636363637,36.31818181818182,1.1113892365456821,14.034605095903926,36,8128.666666666667,1289.6666666666667,40.861111111111114,33.94444444444444,1.2037643207855975,13.693151654574411,-38.888888888888886,1.3506259180006435,4.29051434479193,-1.2174772881774918,6.993006993007004,-7.673851321629949,2.493607388153383
equal_time,Equal Time,stowaway2_lg2,16,8761.4375,1076.5,43.75,28.25,1.5486725663716814,10.942334203688528,12,8737.5,911.5,42.166666666666664,25.25,1.66996699669967,9.44657477458804,33.333333333333336,0.2739628040057225,18.102029621503018,3.7549407114624564,11.881188118811881,-7.2632830809052455,15.83388121929853
equal_time,Equal Time,turbo_b10,4,8264.75,1608.0,39.5,30.75,1.2845528455284554,16.287255323997872,4,6773.75,1322.75,30.0,23.25,1.2903225806451613,16.337306243438523,0.0,22.011441225318325,21.564921564921566,31.666666666666668,32.25806451612903,-0.44715447154470456,-0.30635968191360896
